GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Calculator,com.challenge.apicalculator.domain.service.impl,CalculationServiceImpl,146,0,4,0,33,0,6,0,4,0
API Calculator,com.challenge.apicalculator.domain.service.impl,MockPercentageServiceImpl,12,0,0,0,4,0,3,0,3,0
API Calculator,com.challenge.apicalculator.domain.service.impl,ExternalPercentageServiceImpl,64,0,4,0,16,0,6,0,4,0
API Calculator,com.challenge.apicalculator.domain.service.impl,ExternalPercentageServiceImpl.PercentageResponse,7,0,0,0,3,0,2,0,2,0
API Calculator,com.challenge.apicalculator.domain.service.impl,ApiCallHistoryServiceImpl,107,0,10,0,26,0,10,0,5,0
API Calculator,com.challenge.apicalculator,ApiCalculatorApplication,8,0,0,0,3,0,2,0,2,0
API Calculator,com.challenge.apicalculator.adapters.outbound.repository,ApiCallHistoryRepositoryImpl,73,0,0,0,13,0,5,0,5,0
API Calculator,com.challenge.apicalculator.domain.exception,PercentageServiceException,9,0,0,0,4,0,2,0,2,0
API Calculator,com.challenge.apicalculator.domain.exception,ApiCalculatorException,29,0,0,0,10,0,5,0,5,0
API Calculator,com.challenge.apicalculator.common.exception,ErrorResponse,194,0,32,0,7,0,30,0,14,0
API Calculator,com.challenge.apicalculator.common.exception,GlobalExceptionHandler,105,0,0,0,24,0,7,0,7,0
API Calculator,com.challenge.apicalculator.domain.model,Calculation.CalculationBuilder,45,0,0,0,1,0,7,0,7,0
API Calculator,com.challenge.apicalculator.domain.model,Calculation,182,0,14,0,8,0,22,0,15,0
API Calculator,com.challenge.apicalculator.domain.model,ApiCallHistory,331,0,58,0,11,0,50,0,21,0
API Calculator,com.challenge.apicalculator.domain.model,ApiCallHistory.ApiCallHistoryBuilder,73,0,0,0,1,0,10,0,10,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.util,ResponseEntityUtils,29,0,0,0,8,0,6,0,6,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.util,ValidationUtils,76,0,14,0,18,0,12,0,5,0
API Calculator,com.challenge.apicalculator.adapters.outbound.repository.mapper,ApiCallHistoryEntityMapper,51,0,0,0,19,0,3,0,3,0
API Calculator,com.challenge.apicalculator.common.swagger,ApiConstants,7,0,0,0,2,0,1,0,1,0
API Calculator,com.challenge.apicalculator.common.swagger,SwaggerConfig,25,0,0,0,7,0,2,0,2,0
API Calculator,com.challenge.apicalculator.common.config,RestTemplateConfig,24,0,0,0,5,0,2,0,2,0
API Calculator,com.challenge.apicalculator.common.config,CacheConfig,32,0,0,0,9,0,4,0,4,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.request,CalculationRequest.CalculationRequestBuilder,6,21,0,0,0,1,1,4,1,4
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.request,CalculationRequest,98,30,22,0,0,6,15,7,4,7
API Calculator,com.challenge.apicalculator.adapters.inbound.api.controller,PercentageMockController,16,0,0,0,4,0,3,0,3,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.controller,CallHistoryController,7,21,0,0,1,4,1,4,1,4
API Calculator,com.challenge.apicalculator.adapters.inbound.api.controller,CalculationController,0,16,0,0,0,3,0,3,0,3
API Calculator,com.challenge.apicalculator.adapters.outbound.repository.entity,ApiCallHistoryEntity,331,0,58,0,11,0,50,0,21,0
API Calculator,com.challenge.apicalculator.adapters.outbound.repository.entity,ApiCallHistoryEntity.ApiCallHistoryEntityBuilder,73,0,0,0,1,0,10,0,10,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.mapper,CalculationMapper,56,0,6,0,23,0,7,0,4,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.mapper,BaseMapper,18,0,0,0,6,0,2,0,2,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.mapper,PageMapper,29,0,0,0,11,0,2,0,2,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.mapper,ApiCallHistoryMapper,59,0,4,0,23,0,5,0,3,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,PageResponse.PageResponseBuilder,55,0,0,0,1,0,8,0,8,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,PageResponse,198,0,22,0,9,0,28,0,17,0
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,CalculationResponse,151,31,14,0,2,6,16,6,9,6
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,ApiCallHistoryResponse.ApiCallHistoryResponseBuilder,22,51,0,0,0,1,2,8,2,8
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,ApiCallHistoryResponse,282,49,58,0,2,9,41,9,12,9
API Calculator,com.challenge.apicalculator.adapters.inbound.api.model.response,CalculationResponse.CalculationResponseBuilder,20,25,0,0,0,1,3,4,3,4
